Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-03-08,2001: A Space Odyssey,1968,https://boxd.it/6005hp,4.5,,,2024-03-04
2024-03-07,Stargate,1994,https://boxd.it/5ZJ2i1,2.5,,,2024-03-06
2024-03-08,Videodrome,1983,https://boxd.it/5ZWCiR,5,,,2024-03-07
2024-03-08,Rear Window,1954,https://boxd.it/604D3T,5,,,2024-03-07
2024-03-09,Snake Eyes,1998,https://boxd.it/60w9et,4,,,2024-03-08
2024-03-10,Priscilla,2023,https://boxd.it/61fAMH,3,,,2024-03-09
2024-03-11,Vale o Escrito: A Guerra do Jogo do Bicho,2023,https://boxd.it/61l3ep,3.5,,,2024-03-10
2024-03-11,A German Youth,2015,https://boxd.it/61vvTP,5,Yes,,2024-03-10
2024-03-11,District 9,2009,https://boxd.it/61Ggrt,0.5,,,2024-03-10
2024-03-12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/61UP85,4,,,2024-03-11
2024-03-12,Starship Troopers,1997,https://boxd.it/62994v,4,,,2024-03-11
2024-03-13,Harakiri,1962,https://boxd.it/62xbJD,5,,,2024-03-12
2024-03-13,Beyond the Infinite Two Minutes,2020,https://boxd.it/62z5Nj,3.5,Yes,,2024-03-12
2024-03-18,The Birds,1963,https://boxd.it/64T26T,5,,,2024-03-17
2024-03-22,Mango Yellow,2002,https://boxd.it/66yPxl,3.5,,,2024-03-21
2024-03-26,The Red Light Bandit,1968,https://boxd.it/68xd0z,4,,,2024-03-25
2024-03-27,La Haine,1995,https://boxd.it/68X5G5,4,,,2024-03-26
2024-03-29,Entranced Earth,1967,https://boxd.it/69I3k1,4,,,2024-03-28
2024-03-30,Thanksgiving,2023,https://boxd.it/6adYqR,3.5,,,2024-03-29
2024-03-31,Pictures of Ghosts,2023,https://boxd.it/6aGwV1,3.5,,,2024-03-30
2024-04-01,Carrie,2013,https://boxd.it/6bpKqB,1.5,,,2024-03-31
2024-04-01,Carrie,1976,https://boxd.it/6bCZYz,4,,,2024-03-31
2024-04-02,Twenty Years Later,1984,https://boxd.it/6bWcbt,5,,,2024-04-01
2024-04-03,The Battle of Algiers,1966,https://boxd.it/6cpfBn,4.5,,,2024-04-02
2024-04-06,Johnny Guitar,1954,https://boxd.it/6dBDBJ,4,,,2024-04-05
2024-04-08,Hard Labor,2011,https://boxd.it/6eEOjV,4,,,2024-04-07
2024-04-10,Black Panthers,1968,https://boxd.it/6fgyWN,5,,,2024-04-09
2024-04-10,Hello Cubans,1963,https://boxd.it/6fkPS7,5,,,2024-04-09
2024-04-12,Garden of War,1968,https://boxd.it/6fZeqn,5,,,2024-04-11
2024-04-12,Memories of Underdevelopment,1968,https://boxd.it/6gbbyd,4.5,,,2024-04-12
2024-04-13,Monster,2023,https://boxd.it/6guuy5,3.5,,,2024-04-12
2024-04-14,Solaris,1972,https://boxd.it/6gX24J,4.5,,,2024-04-13
2024-04-15,Judas and the Black Messiah,2021,https://boxd.it/6hgm0P,4,,,2024-04-14
2024-04-21,August: Osage County,2013,https://boxd.it/6jCdHd,3.5,,,2024-04-20
2024-04-22,Property,2022,https://boxd.it/6k6NsD,3.5,,,2024-04-21
2024-04-25,Movie Dementia,1986,https://boxd.it/6lfj5B,4,,,2024-04-24
2024-05-01,The Guns,1964,https://boxd.it/6nGvaZ,5,,,2024-04-30
2024-05-02,A Clockwork Orange,1971,https://boxd.it/6obuWl,4,,,2024-05-01
2024-05-03,John Was Trying to Contact Aliens,2020,https://boxd.it/6os3Il,3.5,,,2024-05-02
2024-05-11,Four Days in September,1997,https://boxd.it/6rNKLh,2.5,,,2024-05-09
2024-05-11,Fake Blonde,2007,https://boxd.it/6rRBYf,4.5,,,2024-05-10
2024-05-11,The Woman of Everyone,1969,https://boxd.it/6rZur5,5,,,2024-05-10
2024-05-13,Godzilla Minus One,2023,https://boxd.it/6sHzxZ,4,,,2024-05-12
2024-05-14,Girls from ABC,2003,https://boxd.it/6tgghj,3.5,,,2024-05-13
2024-05-20,Le Bonheur,1965,https://boxd.it/6vjNaf,5,,,2024-05-19
2024-05-22,Late Night with the Devil,2023,https://boxd.it/6w7Ugf,2,,,2024-05-20
2024-05-22,Shine Your Eyes,2020,https://boxd.it/6wlQyx,3,,,2024-05-21
2024-05-25,The Cabinet of Dr. Caligari,1920,https://boxd.it/6xzCkX,4.5,,,2024-05-24
2024-05-25,Bizarre Fish from the Abyssal Zone,2023,https://boxd.it/6xzDp5,3,,,2024-05-24
2024-05-26,The Wicker Man,1973,https://boxd.it/6xKxkl,5,,,2024-05-25
2024-05-26,Broken Embraces,2009,https://boxd.it/6xSGZ9,4,,,2024-05-25
2024-05-31,Bicycle Thieves,1948,https://boxd.it/6zWhfr,5,,,2024-05-30
2024-05-31,Vertigo,1958,https://boxd.it/6A4zmL,5,,,2024-05-30
2024-06-01,Psycho,1960,https://boxd.it/6AEvpN,5,,,2024-05-31
2024-06-02,The Pastor and the Revolutionary,2022,https://boxd.it/6ARJQJ,2.5,,,2024-06-01
2024-06-02,Rope,1948,https://boxd.it/6B72Vt,3.5,,,2024-06-02
2024-06-04,"As Above, So Below",2014,https://boxd.it/6BREOx,4.5,,,2024-06-03
2024-06-05,All the Women in the World,1966,https://boxd.it/6CdN1N,4,,,2024-06-04
2024-06-07,Furiosa: A Mad Max Saga,2024,https://boxd.it/6CI8qJ,3.5,,,2024-06-05
2024-06-10,"Master, a Building in Copacabana",2002,https://boxd.it/6E8aZn,4.5,,,2024-06-09
2024-06-10,The Baader Meinhof Complex,2008,https://boxd.it/6EdFOF,3.5,,,2024-06-09
2024-06-12,Rise of the Planet of the Apes,2011,https://boxd.it/6EZEqX,2.5,,,2024-06-11
2024-06-12,Dawn of the Planet of the Apes,2014,https://boxd.it/6F2esf,4,,,2024-06-11
2024-06-12,Absolute Majority,1964,https://boxd.it/6F2TBR,4,,,2024-06-11
2024-06-14,Cantos de Trabalho - Mutirão,1975,https://boxd.it/6FMWhx,3.5,,,2024-06-14
2024-06-15,Miserere Nobis,1983,https://boxd.it/6G3Bv3,5,,,2024-06-14
2024-06-15,Closes,1982,https://boxd.it/6G3BM9,5,,,2024-06-14
2024-06-15,Perequeté,1981,https://boxd.it/6G9aa5,5,,,2024-06-14
2024-06-15,Red Was the Color of Their Lips,1983,https://boxd.it/6G9aGF,5,,,2024-06-14
2024-06-15,Baltazar da Lomba,1982,https://boxd.it/6G9b85,4,,,2024-06-14
2024-06-17,The Face of Another,1966,https://boxd.it/6GOM3t,4,,,2024-06-16
2024-06-21,The Asphalt Kiss,2018,https://boxd.it/6Is6Nj,4,,,2024-06-20
2024-06-30,Across the Universe,2007,https://boxd.it/6LZZMN,2,,,2024-06-29
2024-07-01,Butterfly,1999,https://boxd.it/6MqEIT,4,,,2024-06-30
2024-07-09,When Evil Lurks,2023,https://boxd.it/6PY1Pr,2.5,,,2024-07-08
2024-07-14,The Vanishing,1988,https://boxd.it/6RRrfX,5,,,2024-07-13
2024-07-14,Ninotchka,1939,https://boxd.it/6RV0jr,3.5,,,2024-07-13
2024-07-14,The Hidden Tiger,2016,https://boxd.it/6RYkcB,4,,,2024-07-13
2024-07-15,The Glass House,2001,https://boxd.it/6SwAUR,1.5,,,2024-07-14
2024-07-15,Creepy,2016,https://boxd.it/6SBTqL,4,,,2024-07-14
2024-07-22,History of the Occult,2020,https://boxd.it/6VKlfz,3,,,2024-07-21
2024-07-29,Men,2022,https://boxd.it/6YWpB1,1,,,2024-07-28
2024-07-31,The First Omen,2024,https://boxd.it/6ZRR49,4,,,2024-07-30
2024-08-05,Afire,2023,https://boxd.it/724Loh,4,,,2024-08-04
2024-08-12,The Hateful Eight,2015,https://boxd.it/74Nt97,4,,,2024-08-11
2024-08-13,Dog Day Afternoon,1975,https://boxd.it/75ji1P,5,,,2024-08-12
2024-08-16,RoboCop,1987,https://boxd.it/76NtpH,4,,,2024-08-15
2024-08-18,MaXXXine,2024,https://boxd.it/77PM4L,2,,,2024-08-18
2024-08-19,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/78jHHN,4,,,2024-08-18
2024-08-20,Drive,2011,https://boxd.it/78Q1Tj,4,Yes,,2024-08-19
2024-08-20,John Wick,2014,https://boxd.it/78SGcp,3.5,,,2024-08-19
2024-08-21,John Wick: Chapter 2,2017,https://boxd.it/79leyl,4,,,2024-08-21
2024-08-21,12 Angry Men,1957,https://boxd.it/79lfA3,5,,,2024-08-21
2024-08-23,The Verdict,1982,https://boxd.it/7a6Psj,4,,,2024-08-22
2024-08-24,¡Las Sandinistas!,2018,https://boxd.it/7az9EZ,5,,,2024-08-23
2024-08-25,Possession,1981,https://boxd.it/7aZmfl,4.5,,,2024-08-24
2024-08-25,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/7b6sUD,4,,,2024-08-24
2024-08-26,The Texas Chain Saw Massacre,1974,https://boxd.it/7btoSf,4,,,2024-08-25
2024-08-26,Opening Night,1977,https://boxd.it/7bAwaT,5,,,2024-08-25
2024-08-27,Longlegs,2024,https://boxd.it/7c5Mv1,2,,,2024-08-26
2024-08-28,Scarface,1983,https://boxd.it/7czJGP,3.5,,,2024-08-27
2024-08-29,Motel Destino,2024,https://boxd.it/7cZ1RB,4,,,2024-08-28
2024-09-02,Network,1976,https://boxd.it/7eyJB7,4,,,2024-09-01
2024-09-03,Trap,2024,https://boxd.it/7fnKyP,2.5,,,2024-09-02
2024-09-05,The Last Metro,1980,https://boxd.it/7gl6IP,3,,,2024-09-05
2024-09-08,The Tenant,1976,https://boxd.it/7hn0H5,5,,,2024-09-07
2024-09-09,Chinatown,1974,https://boxd.it/7hTa8X,4.5,,,2024-09-08
2024-09-13,Shutter,2004,https://boxd.it/7jN3rT,3.5,,,2024-09-13
2024-09-14,Limite,1931,https://boxd.it/7kfgiB,5,,,2024-09-14
2024-09-15,The Meg,2018,https://boxd.it/7kuYb5,2,,,2024-09-14
2024-09-16,See No Evil,1971,https://boxd.it/7l8WMt,3.5,,,2024-09-15
2024-09-17,The Beyond,1981,https://boxd.it/7lBdKP,4,,,2024-09-16
2024-09-18,Rebel Ridge,2024,https://boxd.it/7m3Yub,4,,,2024-09-18
2024-09-19,Blood and Black Lace,1964,https://boxd.it/7mnvQd,4,,,2024-09-18
2024-09-24,Heat,1995,https://boxd.it/7oGarH,5,,,2024-09-23
2024-09-24,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/7oIIgH,5,,,2024-09-24
2024-09-30,Halloween,1978,https://boxd.it/7qUISD,3,,,2024-09-29
2024-10-01,Blink Twice,2024,https://boxd.it/7rHfkl,2.5,,,2024-09-30
2024-10-02,The Exterminating Angel,1962,https://boxd.it/7s6jSB,5,,,2024-10-01
2024-10-05,A Woman Under the Influence,1974,https://boxd.it/7th5E7,5,,,2024-10-04
2024-10-07,Cruising,1980,https://boxd.it/7ujf05,4.5,,,2024-10-06
2024-10-07,Scanners,1981,https://boxd.it/7uyRCL,5,,,2024-10-06
2024-10-07,Sorcerer,1977,https://boxd.it/7uD6Tl,5,,,2024-10-06
2024-10-10,Apartment 7A,2024,https://boxd.it/7vYxqV,4,,,2024-10-09
2024-10-11,Serpico,1973,https://boxd.it/7wxqXD,3.5,,,2024-10-11
2024-10-13,Rosemary's Baby,1968,https://boxd.it/7xfRsv,5,,,2024-10-12
2024-10-19,Night on Earth,1991,https://boxd.it/7Aq52j,4,,,2024-10-18
2024-10-19,The Phantom of Liberty,1974,https://boxd.it/7AqRWp,4,,,2024-10-18
2024-10-20,Belle de Jour,1967,https://boxd.it/7AF9tj,5,,,2024-10-19
2024-10-21,Wonder Woman 1984,2020,https://boxd.it/7BjHJZ,4,,,2024-10-20
2024-10-21,F for Fake,1973,https://boxd.it/7BxnOX,5,,,2024-10-20
2024-10-22,Belly,1998,https://boxd.it/7BQFdj,5,,,2024-10-21
2024-10-22,The Substance,2024,https://boxd.it/7Cb0KN,4,,,2024-10-21
2024-10-26,The Butterfly Effect,2004,https://boxd.it/7DXsXv,1.5,,,2024-10-25
2024-10-28,Coffee and Cigarettes,2003,https://boxd.it/7F5UaL,5,,,2024-10-27
2024-11-03,Matewan,1987,https://boxd.it/7Io3hz,4,,,2024-11-02
2024-11-03,The Gambler,1974,https://boxd.it/7IuSil,3.5,,,2024-11-03
2024-11-04,Death Proof,2007,https://boxd.it/7IPrxZ,5,Yes,,2024-11-03
2024-11-04,Kill Bill: Vol. 1,2003,https://boxd.it/7IULy9,3.5,,,2024-11-03
2024-11-04,Kill Bill: Vol. 2,2004,https://boxd.it/7J3srV,4,,,2024-11-03
2024-11-05,Vanishing Point,1971,https://boxd.it/7JBbpr,5,,,2024-11-04
2024-11-09,Rashomon,1950,https://boxd.it/7LcWdb,5,,,2024-11-08
2024-11-16,Used Cars,1980,https://boxd.it/7OCdAt,4,,,2024-11-15
2024-11-17,Theorem,1968,https://boxd.it/7P1mqn,5,,,2024-11-16
2024-11-17,Casa de Farinha,1970,https://boxd.it/7Pn5uB,5,,,2024-11-16
2024-11-17,Pulp Fiction,1994,https://boxd.it/7Pyrzl,4,,,2024-11-17
2024-11-18,I'm Still Here,2024,https://boxd.it/7PLF5P,5,,,2024-11-17
2024-11-18,Inglourious Basterds,2009,https://boxd.it/7Q19e3,3,,,2024-11-17
2024-11-21,Lady on the Bus,1978,https://boxd.it/7RagqR,4,,,2024-11-20
2024-11-21,Night and Fog,1956,https://boxd.it/7RbDxt,5,,,2024-11-20
2024-11-21,Beast,2021,https://boxd.it/7RkAWt,3,,,2024-11-20
2024-12-04,"Muriel, or the Time of Return",1963,https://boxd.it/7Y0czN,4,,,2024-12-03
2024-12-07,Frankenstein,1931,https://boxd.it/7ZipsP,3,,,2024-12-06
2024-12-08,The Golem: How He Came Into the World,1920,https://boxd.it/7ZyKhb,3.5,,,2024-12-07
2024-12-09,The Angel Was Born,1969,https://boxd.it/8095I5,3,,,2024-12-08
2024-12-09,Where Is the Friend's House?,1987,https://boxd.it/80dR8d,5,,,2024-12-08
2024-12-11,A Streetcar Named Desire,1951,https://boxd.it/81o8Ux,4,,,2024-12-10
2024-12-12,M,1931,https://boxd.it/81Go0r,5,,,2024-12-11
2024-12-12,Smile 2,2024,https://boxd.it/81SNRp,2,,,2024-12-11
2024-12-12,Falling Leaves,1912,https://boxd.it/81Tbn9,4,,,2024-12-11
2024-12-14,Strike,1925,https://boxd.it/82O1aN,3.5,,,2024-12-13
2024-12-14,The Driver,1978,https://boxd.it/832cUv,4,,,2024-12-14
2024-12-15,Blood of the Condor,1969,https://boxd.it/83ejHH,5,,,2024-12-14
2024-12-15,Dead for a Dollar,2022,https://boxd.it/83n0Bt,3.5,,,2024-12-14
2024-12-19,Dersu Uzala,1975,https://boxd.it/85Ex2N,5,,,2024-12-18
2024-12-21,Vivre Sa Vie,1962,https://boxd.it/86GhR9,3.5,,,2024-12-20
2024-12-23,The Spirit of the Beehive,1973,https://boxd.it/87TVGl,5,,,2024-12-22
2024-12-24,Juror #2,2024,https://boxd.it/88nbAV,3,Yes,,2024-12-22
2024-12-25,The Manchurian Candidate,1962,https://boxd.it/89jicx,4.5,,,2024-12-24
2024-12-26,Heretic,2024,https://boxd.it/8a2JSP,1.5,,,2024-12-25
2024-12-26,I Saw the TV Glow,2024,https://boxd.it/8ah5hf,1,,,2024-12-25
2024-12-27,The Zone of Interest,2023,https://boxd.it/8b7VUH,3,,,2024-12-26
2024-12-27,Night and Fog,1956,https://boxd.it/8bctqz,5,Yes,,2024-12-26
2024-12-28,Carol,2015,https://boxd.it/8ciumz,5,,,2024-12-28
2025-01-04,A Touch of Sin,2013,https://boxd.it/8ipDyH,4.5,,,2025-01-03
2025-01-04,Phoenix,2014,https://boxd.it/8iXPY1,5,,,2025-01-03
2025-01-06,Nosferatu,2024,https://boxd.it/8kMDyL,2.5,,,2025-01-05
2025-01-06,The Fire Within: A Requiem for Katia and Maurice Krafft,2022,https://boxd.it/8l8iqZ,4,,,2025-01-05
2025-01-06,Challengers,2024,https://boxd.it/8lfXbZ,4,,,2025-01-05
2025-01-09,A German Youth,2015,https://boxd.it/8nEB1L,5,Yes,,2025-01-08
2025-01-11,Ran,1985,https://boxd.it/8pfjV5,5,,,2025-01-10
2025-01-15,Princess Mononoke,1997,https://boxd.it/8tNQXH,4,,,2025-01-14
2025-01-22,In the Mood for Love,2000,https://boxd.it/8zb9Dd,5,,,2025-01-21
2025-01-24,Los Angeles Plays Itself,2003,https://boxd.it/8Ar2HD,5,,,2025-01-23
2025-01-24,"Paris, Texas",1984,https://boxd.it/8ANFcj,5,,,2025-01-23
2025-01-25,The Spook Who Sat by the Door,1973,https://boxd.it/8Bk72b,5,,,2025-01-24
2025-01-27,Black Sabbath,1963,https://boxd.it/8CUhbt,4,,,2025-01-26
2025-01-27,Marrowbone,2017,https://boxd.it/8DcYth,3,,,2025-01-26
2025-01-28,Rockers,1978,https://boxd.it/8DxPkn,5,,,2025-01-27
2025-01-30,Sweet Sweetback's Baadasssss Song,1971,https://boxd.it/8Fi7fh,5,,,2025-01-29
2025-01-30,Bring It On,2000,https://boxd.it/8Fpkxx,5,,,2025-01-29
2025-01-31,Baadasssss!,2003,https://boxd.it/8FOMSt,5,,,2025-01-30
2025-01-31,Killer of Sheep,1978,https://boxd.it/8FSJlz,5,,,2025-01-30
2025-01-31,My Brother's Wedding,1983,https://boxd.it/8FWmcd,4,,,2025-01-30
2025-02-01,The Seventh Seal,1957,https://boxd.it/8GiQKD,5,,,2025-01-31
2025-02-02,La Belle Noiseuse,1991,https://boxd.it/8H3i8f,4,,,2025-02-01
2025-02-02,Conclave,2024,https://boxd.it/8Hbf4P,2,,,2025-02-01
2025-02-02,Pickup on South Street,1953,https://boxd.it/8HsNiv,4,,,2025-02-01
2025-02-02,White Dog,1982,https://boxd.it/8HxrQl,5,,,2025-02-01
2025-02-03,"As Above, So Below",2014,https://boxd.it/8Ipkgt,4,Yes,,2025-02-02
2025-02-04,First Reformed,2017,https://boxd.it/8J1spp,4.5,,,2025-02-03
2025-02-05,My Favourite Cake,2024,https://boxd.it/8JHs3x,4,,,2025-02-04
2025-02-05,Blue Collar,1978,https://boxd.it/8JM6Y7,4,,,2025-02-04
2025-02-06,Gone in 60 Seconds,1974,https://boxd.it/8KgXlR,4,,,2025-02-05
2025-02-07,The Other Side of the Wind,2018,https://boxd.it/8KTq1R,3.5,,,2025-02-06
2025-02-08,Soundtrack to a Coup d'Etat,2024,https://boxd.it/8LrmfD,5,,,2025-02-07
2025-02-09,Bad Lieutenant,1992,https://boxd.it/8LQErx,5,,,2025-02-08
2025-02-09,Compasso de Espera,1969,https://boxd.it/8LVrgr,4,,,2025-02-08
2025-02-09,Videodrome,1983,https://boxd.it/8MuT4N,5,Yes,,2025-02-09
2025-02-10,Other Side of the Box,2018,https://boxd.it/8MHPol,3.5,,,2025-02-09
2025-02-10,Soul in the Eye,1973,https://boxd.it/8MJHit,4,,,2025-02-09
2025-02-11,The Black Power Mixtape 1967-1975,2011,https://boxd.it/8NCB83,3.5,,,2025-02-10
